tasks,offlines,repeat,tag,date,init,limit,setup,time,calls
16,1,4,pusty,2007-01-14 12:17:22,3,1,2,2.27,11116114
16,1,4,pusty,2007-01-14 12:17:25,3,2,2,2.06,3441673
16,1,4,pusty,2007-01-14 12:17:27,3,3,2,2.12,3441659
16,1,5,pusty,2007-01-14 12:17:29,1,1,2,2.31,11810584
16,1,5,pusty,2007-01-14 12:17:31,1,2,2,1.82,2901105
16,1,5,pusty,2007-01-14 12:17:33,1,3,2,2.11,2901105
16,1,5,pusty,2007-01-14 12:17:33,2,1,2,0.07,408033
16,1,5,pusty,2007-01-14 12:17:33,2,2,2,0.03,63642
16,1,5,pusty,2007-01-14 12:17:34,2,3,2,0.05,63642
16,1,5,pusty,2007-01-14 12:17:34,3,1,2,0.19,82836
16,1,5,pusty,2007-01-14 12:17:34,3,2,2,0.18,5699
16,1,5,pusty,2007-01-14 12:17:34,3,3,2,0.18,5699
16,1,6,pusty,2007-01-14 12:17:35,1,1,2,0.31,1606635
16,1,6,pusty,2007-01-14 12:17:35,1,2,2,0.53,711187
16,1,6,pusty,2007-01-14 12:17:36,1,3,2,0.51,586516
16,1,6,pusty,2007-01-14 12:17:36,2,1,2,0.03,177216
16,1,6,pusty,2007-01-14 12:17:36,2,2,2,0.05,87725
16,1,6,pusty,2007-01-14 12:17:36,2,3,2,0.06,74740
16,1,6,pusty,2007-01-14 12:17:36,3,1,2,0.20,98257
16,1,6,pusty,2007-01-14 12:17:37,3,2,2,0.22,45426
16,1,6,pusty,2007-01-14 12:17:37,3,3,2,0.22,36186
16,1,7,pusty,2007-01-14 12:17:38,1,1,2,1.08,5187859
16,1,7,pusty,2007-01-14 12:17:39,1,2,2,0.97,1489678
16,1,7,pusty,2007-01-14 12:17:40,1,3,2,0.97,1243502
16,1,7,pusty,2007-01-14 12:17:41,2,1,2,0.23,1166921
16,1,7,pusty,2007-01-14 12:17:41,2,2,2,0.18,309088
16,1,7,pusty,2007-01-14 12:17:41,2,3,2,0.19,261554
16,1,7,pusty,2007-01-14 12:17:41,3,1,2,0.19,74995
16,1,7,pusty,2007-01-14 12:17:42,3,2,2,0.19,17805
16,1,7,pusty,2007-01-14 12:17:42,3,3,2,0.20,17073
16,1,8,pusty,2007-01-14 12:17:43,1,1,2,1.34,6890572
16,1,8,pusty,2007-01-14 12:17:46,1,2,2,2.36,3973447
16,1,8,pusty,2007-01-14 12:17:48,1,3,2,2.61,3969742
16,1,8,pusty,2007-01-14 12:17:49,2,1,2,0.47,2415704
16,1,8,pusty,2007-01-14 12:17:50,2,2,2,0.74,1294227
16,1,8,pusty,2007-01-14 12:17:51,2,3,2,0.83,1290888
16,1,8,pusty,2007-01-14 12:17:51,3,1,2,0.29,510037
16,1,8,pusty,2007-01-14 12:17:51,3,2,2,0.34,308986
16,1,8,pusty,2007-01-14 12:17:52,3,3,2,0.37,306604
16,1,9,pusty,2007-01-14 12:18:52,1,1,2,Command exited with non-zero status 137 0.00,Timeout: aborting command ``../../src/branch'' with signal 9 Killed
16,1,9,pusty,2007-01-14 12:18:52,1,2,2,0.00,18081
16,1,9,pusty,2007-01-14 12:18:52,1,3,2,0.00,18066
16,1,9,pusty,2007-01-14 12:19:25,2,1,2,32.73,170292539
16,1,9,pusty,2007-01-14 12:19:26,2,2,2,0.18,395574
16,1,9,pusty,2007-01-14 12:19:26,2,3,2,0.23,395559
16,1,9,pusty,2007-01-14 12:19:57,3,1,2,30.96,159310014
