tasks,offlines,repeat,tag,date,init,approx,cmax,time,cmax_min
5,3,19,pusty,2007-01-05 21:11:17,3,3,614,0.00,
5,3,1,pusty,2007-01-05 21:11:12,1,1,682,0.00,
5,3,1,pusty,2007-01-05 21:11:12,1,2,682,0.00,
5,3,1,pusty,2007-01-05 21:11:12,1,3,682,0.01,
5,3,1,pusty,2007-01-05 21:11:13,2,1,682,0.00,
5,3,1,pusty,2007-01-05 21:11:13,2,2,682,0.00,
5,3,1,pusty,2007-01-05 21:11:13,2,3,682,0.00,
5,3,1,pusty,2007-01-05 21:11:13,3,1,682,0.00,
5,3,1,pusty,2007-01-05 21:11:13,3,2,682,0.00,
5,3,1,pusty,2007-01-05 21:11:13,3,3,682,0.00,
5,3,20,pusty,2007-01-05 21:11:17,1,1,478,0.00,
5,3,20,pusty,2007-01-05 21:11:17,1,2,478,0.00,
5,3,20,pusty,2007-01-05 21:11:18,1,3,478,0.00,
5,3,20,pusty,2007-01-05 21:11:18,2,1,478,0.00,
5,3,20,pusty,2007-01-05 21:11:18,2,2,478,0.00,
5,3,20,pusty,2007-01-05 21:11:18,2,3,478,0.00,
5,3,20,pusty,2007-01-05 21:11:18,3,1,478,0.00,
5,3,20,pusty,2007-01-05 21:11:18,3,2,478,0.00,
5,3,20,pusty,2007-01-05 21:11:18,3,3,478,0.00,
5,3,2,pusty,2007-01-05 21:11:17,1,1,445,0.00,
5,3,2,pusty,2007-01-05 21:11:17,1,2,445,0.00,
5,3,2,pusty,2007-01-05 21:11:17,1,3,445,0.00,
5,3,2,pusty,2007-01-05 21:11:17,2,1,445,0.00,
5,3,2,pusty,2007-01-05 21:11:17,2,2,445,0.00,
5,3,2,pusty,2007-01-05 21:11:17,2,3,445,0.00,
5,3,2,pusty,2007-01-05 21:11:17,3,1,445,0.00,
5,3,2,pusty,2007-01-05 21:11:17,3,2,445,0.00,
5,3,2,pusty,2007-01-05 21:11:17,3,3,445,0.00,
5,3,3,pusty,2007-01-05 21:11:18,1,1,530,0.00,
5,3,3,pusty,2007-01-05 21:11:18,1,2,530,0.00,
5,3,3,pusty,2007-01-05 21:11:18,1,3,530,0.00,
5,3,3,pusty,2007-01-05 21:11:18,2,1,530,0.00,
5,3,3,pusty,2007-01-05 21:11:18,2,2,530,0.00,
5,3,3,pusty,2007-01-05 21:11:18,2,3,530,0.00,
5,3,3,pusty,2007-01-05 21:11:18,3,1,530,0.00,
5,3,3,pusty,2007-01-05 21:11:18,3,2,530,0.00,
5,3,3,pusty,2007-01-05 21:11:18,3,3,530,0.00,
5,3,4,pusty,2007-01-05 21:11:18,1,1,563,0.00,
5,3,4,pusty,2007-01-05 21:11:18,1,2,563,0.00,
5,3,4,pusty,2007-01-05 21:11:18,1,3,563,0.00,
5,3,4,pusty,2007-01-05 21:11:18,2,1,563,0.00,
5,3,4,pusty,2007-01-05 21:11:18,2,2,563,0.00,
5,3,4,pusty,2007-01-05 21:11:18,2,3,563,0.00,
5,3,4,pusty,2007-01-05 21:11:18,3,1,563,0.00,
5,3,4,pusty,2007-01-05 21:11:18,3,2,563,0.00,
5,3,4,pusty,2007-01-05 21:11:19,3,3,563,0.00,
5,3,5,pusty,2007-01-05 21:11:19,1,1,597,0.00,
5,3,5,pusty,2007-01-05 21:11:19,1,2,597,0.00,
5,3,5,pusty,2007-01-05 21:11:19,1,3,597,0.00,
5,3,5,pusty,2007-01-05 21:11:19,2,1,597,0.00,
5,3,5,pusty,2007-01-05 21:11:19,2,2,597,0.00,
5,3,5,pusty,2007-01-05 21:11:19,2,3,597,0.00,
5,3,5,pusty,2007-01-05 21:11:19,3,1,597,0.00,
5,3,5,pusty,2007-01-05 21:11:19,3,2,597,0.00,
5,3,5,pusty,2007-01-05 21:11:19,3,3,597,0.00,
5,3,6,pusty,2007-01-05 21:11:19,1,1,514,0.00,
5,3,6,pusty,2007-01-05 21:11:19,1,2,514,0.00,
5,3,6,pusty,2007-01-05 21:11:19,1,3,514,0.00,
5,3,6,pusty,2007-01-05 21:11:19,2,1,514,0.00,
5,3,6,pusty,2007-01-05 21:11:19,2,2,514,0.00,
5,3,6,pusty,2007-01-05 21:11:19,2,3,514,0.00,
5,3,6,pusty,2007-01-05 21:11:19,3,1,514,0.00,
5,3,6,pusty,2007-01-05 21:11:19,3,2,514,0.00,
5,3,6,pusty,2007-01-05 21:11:19,3,3,514,0.00,
5,3,7,pusty,2007-01-05 21:11:19,1,1,593,0.00,
5,3,7,pusty,2007-01-05 21:11:19,1,2,593,0.00,
5,3,7,pusty,2007-01-05 21:11:20,1,3,593,0.00,
5,3,7,pusty,2007-01-05 21:11:20,2,1,593,0.00,
5,3,7,pusty,2007-01-05 21:11:20,2,2,593,0.00,
5,3,7,pusty,2007-01-05 21:11:20,2,3,593,0.00,
5,3,7,pusty,2007-01-05 21:11:20,3,1,593,0.00,
5,3,7,pusty,2007-01-05 21:11:20,3,2,593,0.00,
5,3,7,pusty,2007-01-05 21:11:20,3,3,593,0.00,
5,3,8,pusty,2007-01-05 21:11:20,1,1,510,0.00,
5,3,8,pusty,2007-01-05 21:11:20,1,2,510,0.00,
5,3,8,pusty,2007-01-05 21:11:20,1,3,510,0.00,
5,3,8,pusty,2007-01-05 21:11:20,2,1,510,0.00,
5,3,8,pusty,2007-01-05 21:11:20,2,2,510,0.00,
5,3,8,pusty,2007-01-05 21:11:20,2,3,510,0.00,
5,3,8,pusty,2007-01-05 21:11:20,3,1,510,0.00,
5,3,8,pusty,2007-01-05 21:11:20,3,2,510,0.00,
5,3,8,pusty,2007-01-05 21:11:20,3,3,510,0.00,
5,3,9,pusty,2007-01-05 21:11:20,1,1,444,0.00,
5,3,9,pusty,2007-01-05 21:11:20,1,2,444,0.00,
5,3,9,pusty,2007-01-05 21:11:20,1,3,444,0.00,
5,3,9,pusty,2007-01-05 21:11:20,2,1,444,0.00,
5,3,9,pusty,2007-01-05 21:11:20,2,2,444,0.00,
5,3,9,pusty,2007-01-05 21:11:20,2,3,444,0.00,
5,3,9,pusty,2007-01-05 21:11:20,3,1,444,0.00,
5,3,9,pusty,2007-01-05 21:11:20,3,2,444,0.00,
5,3,9,pusty,2007-01-05 21:11:20,3,3,444,0.00,
6,3,10,pusty,2007-01-05 21:11:21,1,1,689,0.00,
6,3,10,pusty,2007-01-05 21:11:21,1,2,689,0.00,
