tasks,offlines,repeat,tag,date,tabus,chances,resets,distance,cmax,time
50,10,2,test tabulisty,2006-11-23 14:34:22,20,75,1,3,4300,0.96
50,10,2,test tabulisty,2006-11-23 14:34:23,40,25,1,3,4300,0.55
50,10,2,test tabulisty,2006-11-23 14:34:23,40,50,1,3,4300,0.80
50,10,2,test tabulisty,2006-11-23 14:34:25,40,75,1,3,4300,0.95
50,10,2,test tabulisty,2006-11-23 14:34:25,60,25,1,3,4300,0.53
50,10,2,test tabulisty,2006-11-23 14:34:26,60,50,1,3,4300,0.77
50,10,2,test tabulisty,2006-11-23 14:34:27,60,75,1,3,4300,0.92
50,10,2,test tabulisty,2006-11-23 14:34:28,80,25,1,3,4300,0.52
50,10,2,test tabulisty,2006-11-23 14:34:29,80,50,1,3,4300,0.76
50,10,2,test tabulisty,2006-11-23 14:34:30,80,75,1,3,4284,1.42
50,10,2,test tabulisty,2006-11-23 14:34:31,100,25,1,3,4300,0.54
50,10,2,test tabulisty,2006-11-23 14:34:32,100,50,1,3,4300,0.74
50,10,2,test tabulisty,2006-11-23 14:34:33,100,75,1,3,4187,1.51
50,10,2,test tabulisty,2006-11-23 14:34:34,120,25,1,3,4300,0.52
50,10,2,test tabulisty,2006-11-23 14:34:35,120,50,1,3,4300,0.75
50,10,2,test tabulisty,2006-11-23 14:34:36,120,75,1,3,4187,1.52
50,10,2,test tabulisty,2006-11-23 14:34:37,140,25,1,3,4300,0.52
50,10,2,test tabulisty,2006-11-23 14:34:38,140,50,1,3,4300,0.75
50,10,2,test tabulisty,2006-11-23 14:34:40,140,75,1,3,4187,1.53
50,10,2,test tabulisty,2006-11-23 14:34:40,160,25,1,3,4300,0.50
50,10,2,test tabulisty,2006-11-23 14:34:41,160,50,1,3,4300,0.74
50,10,2,test tabulisty,2006-11-23 14:34:43,160,75,1,3,4082,1.98
50,10,2,test tabulisty,2006-11-23 14:34:44,180,25,1,3,4300,0.49
50,10,2,test tabulisty,2006-11-23 14:34:45,180,50,1,3,4300,0.78
50,10,2,test tabulisty,2006-11-23 14:34:47,180,75,1,3,4082,1.97
50,10,2,test tabulisty,2006-11-23 14:34:48,200,25,1,3,4300,0.50
50,10,2,test tabulisty,2006-11-23 14:34:48,200,50,1,3,4300,0.70
50,10,2,test tabulisty,2006-11-23 14:34:50,200,75,1,3,4082,1.98
50,10,3,test tabulisty,2006-11-23 14:34:51,0,25,1,3,4437,0.27
50,10,3,test tabulisty,2006-11-23 14:34:52,0,50,1,3,4437,0.49
50,10,3,test tabulisty,2006-11-23 14:34:52,0,75,1,3,4437,0.71
50,10,3,test tabulisty,2006-11-23 14:34:53,20,25,1,3,4437,0.26
50,10,3,test tabulisty,2006-11-23 14:34:53,20,50,1,3,4437,0.50
50,10,3,test tabulisty,2006-11-23 14:34:54,20,75,1,3,4437,0.71
50,10,3,test tabulisty,2006-11-23 14:34:55,40,25,1,3,4437,0.27
50,10,3,test tabulisty,2006-11-23 14:34:56,40,50,1,3,4301,0.82
50,10,3,test tabulisty,2006-11-23 14:34:57,40,75,1,3,4301,1.02
50,10,3,test tabulisty,2006-11-23 14:34:57,60,25,1,3,4437,0.35
50,10,3,test tabulisty,2006-11-23 14:34:58,60,50,1,3,4243,0.98
50,10,3,test tabulisty,2006-11-23 14:35:00,60,75,1,3,4243,1.20
50,10,3,test tabulisty,2006-11-23 14:35:00,80,25,1,3,4437,0.26
50,10,3,test tabulisty,2006-11-23 14:35:01,80,50,1,3,4232,1.22
50,10,3,test tabulisty,2006-11-23 14:35:03,80,75,1,3,4232,1.37
50,10,3,test tabulisty,2006-11-23 14:35:03,100,25,1,3,4437,0.27
50,10,3,test tabulisty,2006-11-23 14:35:05,100,50,1,3,4243,1.10
50,10,3,test tabulisty,2006-11-23 14:35:06,100,75,1,3,4243,1.33
50,10,3,test tabulisty,2006-11-23 14:35:06,120,25,1,3,4437,0.28
50,10,3,test tabulisty,2006-11-23 14:35:08,120,50,1,3,4243,1.11
50,10,3,test tabulisty,2006-11-23 14:35:09,120,75,1,3,4243,1.26
50,10,3,test tabulisty,2006-11-23 14:35:09,140,25,1,3,4437,0.28
50,10,3,test tabulisty,2006-11-23 14:35:10,140,50,1,3,4243,1.09
50,10,3,test tabulisty,2006-11-23 14:35:12,140,75,1,3,4243,1.22
50,10,3,test tabulisty,2006-11-23 14:35:12,160,25,1,3,4437,0.29
50,10,3,test tabulisty,2006-11-23 14:35:13,160,50,1,3,4243,1.08
50,10,3,test tabulisty,2006-11-23 14:35:15,160,75,1,3,4243,1.27
50,10,3,test tabulisty,2006-11-23 14:35:15,180,25,1,3,4437,0.29
50,10,3,test tabulisty,2006-11-23 14:35:16,180,50,1,3,4243,1.04
50,10,3,test tabulisty,2006-11-23 14:35:18,180,75,1,3,4243,1.22
50,10,3,test tabulisty,2006-11-23 14:35:18,200,25,1,3,4437,0.30
50,10,3,test tabulisty,2006-11-23 14:35:19,200,50,1,3,4243,1.05
50,10,3,test tabulisty,2006-11-23 14:35:21,200,75,1,3,4243,1.24
50,10,4,test tabulisty,2006-11-23 14:35:21,0,25,1,3,4385,0.27
50,10,4,test tabulisty,2006-11-23 14:35:22,0,50,1,3,4385,0.47
50,10,4,test tabulisty,2006-11-23 14:35:23,0,75,1,3,4385,0.70
50,10,4,test tabulisty,2006-11-23 14:35:23,20,25,1,3,4385,0.27
50,10,4,test tabulisty,2006-11-23 14:35:24,20,50,1,3,4385,0.48
50,10,4,test tabulisty,2006-11-23 14:35:24,20,75,1,3,4385,0.68
50,10,4,test tabulisty,2006-11-23 14:35:25,40,25,1,3,4385,0.26
50,10,4,test tabulisty,2006-11-23 14:35:25,40,50,1,3,4385,0.48
50,10,4,test tabulisty,2006-11-23 14:35:26,40,75,1,3,4385,0.73
50,10,4,test tabulisty,2006-11-23 14:35:27,60,25,1,3,4385,0.27
50,10,4,test tabulisty,2006-11-23 14:35:27,60,50,1,3,4385,0.50
50,10,4,test tabulisty,2006-11-23 14:35:29,60,75,1,3,4190,1.30
50,10,4,test tabulisty,2006-11-23 14:35:29,80,25,1,3,4385,0.27
50,10,4,test tabulisty,2006-11-23 14:35:30,80,50,1,3,4385,0.48
50,10,4,test tabulisty,2006-11-23 14:35:31,80,75,1,3,4190,1.26
50,10,4,test tabulisty,2006-11-23 14:35:31,100,25,1,3,4385,0.28
50,10,4,test tabulisty,2006-11-23 14:35:32,100,50,1,3,4385,0.48
50,10,4,test tabulisty,2006-11-23 14:35:33,100,75,1,3,4190,1.24
50,10,4,test tabulisty,2006-11-23 14:35:34,120,25,1,3,4385,0.27
50,10,4,test tabulisty,2006-11-23 14:35:34,120,50,1,3,4385,0.48
50,10,4,test tabulisty,2006-11-23 14:35:36,120,75,1,3,4190,1.26
50,10,4,test tabulisty,2006-11-23 14:35:36,140,25,1,3,4385,0.27
50,10,4,test tabulisty,2006-11-23 14:35:37,140,50,1,3,4385,0.48
50,10,4,test tabulisty,2006-11-23 14:35:38,140,75,1,3,4190,1.27
50,10,4,test tabulisty,2006-11-23 14:35:38,160,25,1,3,4385,0.28
50,10,4,test tabulisty,2006-11-23 14:35:39,160,50,1,3,4385,0.48
50,10,4,test tabulisty,2006-11-23 14:35:40,160,75,1,3,4190,1.27
50,10,4,test tabulisty,2006-11-23 14:35:41,180,25,1,3,4385,0.27
50,10,4,test tabulisty,2006-11-23 14:35:41,180,50,1,3,4385,0.47
50,10,4,test tabulisty,2006-11-23 14:35:43,180,75,1,3,4190,1.29
50,10,4,test tabulisty,2006-11-23 14:35:43,200,25,1,3,4385,0.28
50,10,4,test tabulisty,2006-11-23 14:35:44,200,50,1,3,4385,0.48
50,10,4,test tabulisty,2006-11-23 14:35:45,200,75,1,3,4190,1.32
50,10,5,test tabulisty,2006-11-23 14:35:45,0,25,1,3,4104,0.31
50,10,5,test tabulisty,2006-11-23 14:35:46,0,50,1,3,4104,0.54
50,10,5,test tabulisty,2006-11-23 14:35:47,0,75,1,3,4104,0.79
50,10,5,test tabulisty,2006-11-23 14:35:48,20,25,1,3,3998,0.40
50,10,5,test tabulisty,2006-11-23 14:35:48,20,50,1,3,3998,0.63
50,10,5,test tabulisty,2006-11-23 14:35:49,20,75,1,3,3998,0.82
50,10,5,test tabulisty,2006-11-23 14:35:50,40,25,1,3,3998,0.39
